quantidade_mortes_intervencao_policial_civil_fora_de_servico,quantidade_feminicidio,quantidade_mortes_intervencao_policial_militar_fora_de_servico,quantidade_furto_veiculos,quantidade_mortes_intervencao_policial_civil_em_servico,quantidade_estupro,quantidade_morte_policiais_civis_confronto_em_servico,quantidade_mortes_intervencao_policial_militar_em_servico,quantidade_mortes_policiais_confronto,quantidade_posse_uso_entorpecente,quantidade_mortes_violentas_intencionais,quantidade_morte_policiais_militares_fora_de_servico,quantidade_morte_policiais_civis_fora_de_servico,quantidade_latrocinio,quantidade_porte_ilegal_arma_de_fogo,quantidade_mortes_intervencao_policial,ano,quantidade_roubo_furto_veiculos,quantidade_posse_ilegal_arma_de_fogo,quantidade_lesao_corporal_dolosa_violencia_domestica,quantidade_trafico_entorpecente,quantidade_roubo_veiculos,quantidade_lesao_corporal_morte,proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais,quantidade_morte_policiais_militares_confronto_em_servico,quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,grupo,quantidade_homicidio_doloso
,1.0,,,,,,,,,96.0,,,4.0,,9.0,2022,,,,,,4,9.375,,,AC,Acre,1200401,Rio Branco,Pós-pandemia,79.0
,10.0,,,,,,,,,388.0,,,7.0,,5.0,2022,,,,,,1,1.2886597938144329,,,AL,Alagoas,2704302,Maceió,Pós-pandemia,375.0
,11.0,,,,,,,,,1102.0,,,41.0,,61.0,2022,,,,,,24,5.535390199637023,,,AM,Amazonas,1302603,Manaus,Pós-pandemia,976.0
,3.0,,,,,,,,,310.0,,,17.0,,86.0,2022,,,,,,5,27.741935483870968,,,AP,Amapá,1600303,Macapá,Pós-pandemia,202.0
,21.0,,,,,,,,,1596.0,,,18.0,,438.0,2022,,,,,,15,27.44360902255639,,,BA,Bahia,2927408,Salvador,Pós-pandemia,1125.0
,8.0,,,,,,,,,872.0,,,18.0,,22.0,2022,,,,,,5,2.522935779816514,,,CE,Ceará,2304400,Fortaleza,Pós-pandemia,827.0
,19.0,,,,,,,,,318.0,,,21.0,,15.0,2022,,,,,,5,4.716981132075472,,,DF,Distrito Federal,5300108,Brasília,Pós-pandemia,277.0
,3.0,,,,,,,,,87.0,,,3.0,,9.0,2022,,,,,,5,10.344827586206897,,,ES,Espírito Santo,3205309,Vitória,Pós-pandemia,70.0
,10.0,,,,,,,,,240.0,,,10.0,,87.0,2022,,,,,,5,36.25,,,GO,Goiás,5208707,Goiânia,Pós-pandemia,138.0
,7.0,,,,,,,,,241.0,,,24.0,,9.0,2022,,,,,,1,3.7344398340248963,,,MA,Maranhão,2111300,São Luís,Pós-pandemia,207.0
