ano,id_municipio,id_municipio_nome,sexo,grupo_idade,populacao
2022,1600303,Macapá,feminino,0-4 anos,20733
2024,2704302,Maceió,feminino,0-4 anos,31154
2022,2927408,Salvador,feminino,0-4 anos,65848
2023,1501402,Belém,feminino,0-4 anos,35806
2023,1200401,Rio Branco,feminino,0-4 anos,13589
2024,5103403,Cuiabá,feminino,0-4 anos,22031
2023,2408102,Natal,feminino,10-14 anos,24411
2024,3304557,Rio de Janeiro,feminino,10-14 anos,194860
2024,2611606,Recife,feminino,10-14 anos,48169
2022,2211001,Teresina,feminino,10-14 anos,29866
2022,2800308,Aracaju,feminino,10-14 anos,20391
2023,1100205,Porto Velho,feminino,10-14 anos,20071
2022,1600303,Macapá,feminino,10-14 anos,20250
2022,3550308,São Paulo,feminino,10-14 anos,365717
2023,4106902,Curitiba,feminino,10-14 anos,53109
2023,3205309,Vitória,feminino,10-14 anos,9633
2022,5002704,Campo Grande,feminino,10-14 anos,32273
2022,4314902,Porto Alegre,feminino,15-19 anos,42051
2023,5002704,Campo Grande,feminino,15-19 anos,32646
2022,3205309,Vitória,feminino,15-19 anos,10602
2024,3550308,São Paulo,feminino,15-19 anos,374718
2024,3205309,Vitória,feminino,15-19 anos,10211
2022,2408102,Natal,feminino,15-19 anos,26640
2024,5002704,Campo Grande,feminino,15-19 anos,32634
2023,4106902,Curitiba,feminino,15-19 anos,57418
2023,2704302,Maceió,feminino,15-19 anos,34908
2023,1200401,Rio Branco,feminino,20-24 anos,18276
2022,4314902,Porto Alegre,feminino,20-24 anos,50909
2024,2611606,Recife,feminino,20-24 anos,56644
2023,5103403,Cuiabá,feminino,20-24 anos,25217
2022,1302603,Manaus,feminino,20-24 anos,101787
2023,1302603,Manaus,feminino,20-24 anos,99990
2024,5002704,Campo Grande,feminino,20-24 anos,34868
2023,4314902,Porto Alegre,feminino,20-24 anos,49793
2023,5300108,Brasília,feminino,20-24 anos,116379
2022,3304557,Rio de Janeiro,feminino,20-24 anos,245857
2022,4205407,Florianópolis,feminino,20-24 anos,20923
2022,4314902,Porto Alegre,feminino,25-29 anos,54724
2022,3304557,Rio de Janeiro,feminino,25-29 anos,266699
2024,2507507,João Pessoa,feminino,25-29 anos,36384
2023,1501402,Belém,feminino,25-29 anos,58106
2024,2927408,Salvador,feminino,25-29 anos,102458
2022,2927408,Salvador,feminino,25-29 anos,105042
2023,2304400,Fortaleza,feminino,25-29 anos,112094
2023,3106200,Belo Horizonte,feminino,25-29 anos,96478
2022,2507507,João Pessoa,feminino,25-29 anos,36285
2024,5002704,Campo Grande,feminino,30-34 anos,37148
2023,4205407,Florianópolis,feminino,30-34 anos,25586
2023,4314902,Porto Alegre,feminino,30-34 anos,53029
2023,3304557,Rio de Janeiro,feminino,30-34 anos,260739
2023,4106902,Curitiba,feminino,30-34 anos,71630
2024,2304400,Fortaleza,feminino,30-34 anos,111386
2024,1200401,Rio Branco,feminino,30-34 anos,16362
2022,3304557,Rio de Janeiro,feminino,30-34 anos,261281
2023,1501402,Belém,feminino,30-34 anos,55740
2023,2211001,Teresina,feminino,35-39 anos,41140
2023,2800308,Aracaju,feminino,35-39 anos,28207
2022,2507507,João Pessoa,feminino,35-39 anos,38922
2024,1721000,Palmas,feminino,35-39 anos,14393
2024,2507507,João Pessoa,feminino,35-39 anos,38583
2022,1100205,Porto Velho,feminino,35-39 anos,21752
2022,3106200,Belo Horizonte,feminino,35-39 anos,103663
2022,2111300,São Luís,feminino,35-39 anos,51243
2023,2304400,Fortaleza,feminino,35-39 anos,112992
2023,5208707,Goiânia,feminino,40-44 anos,64525
2024,1302603,Manaus,feminino,40-44 anos,94417
2023,3550308,São Paulo,feminino,40-44 anos,510361
2024,2211001,Teresina,feminino,40-44 anos,40305
2022,2927408,Salvador,feminino,40-44 anos,130008
2023,1200401,Rio Branco,feminino,40-44 anos,15688
2024,1600303,Macapá,feminino,40-44 anos,18634
2023,5300108,Brasília,feminino,40-44 anos,138102
2023,5002704,Campo Grande,feminino,40-44 anos,38133
2022,5103403,Cuiabá,feminino,40-44 anos,28327
2023,1600303,Macapá,feminino,40-44 anos,18373
2022,1100205,Porto Velho,feminino,40-44 anos,19955
2024,2507507,João Pessoa,feminino,40-44 anos,38604
2024,1302603,Manaus,feminino,45-49 anos,82634
2022,1501402,Belém,feminino,45-49 anos,54957
2024,5002704,Campo Grande,feminino,45-49 anos,34852
2022,2507507,João Pessoa,feminino,45-49 anos,31819
2023,2507507,João Pessoa,feminino,45-49 anos,32840
2024,5103403,Cuiabá,feminino,45-49 anos,25675
2023,2611606,Recife,feminino,45-49 anos,62279
2022,2111300,São Luís,feminino,45-49 anos,38888
2022,1600303,Macapá,feminino,45-49 anos,14919
2022,4205407,Florianópolis,feminino,45-49 anos,19891
2024,1721000,Palmas,feminino,5-9 anos,12234
2024,2111300,São Luís,feminino,5-9 anos,34114
2022,2111300,São Luís,feminino,5-9 anos,34418
2023,5103403,Cuiabá,feminino,5-9 anos,23873
2024,1400100,Boa Vista,feminino,5-9 anos,20479
2022,1200401,Rio Branco,feminino,5-9 anos,15019
2023,3106200,Belo Horizonte,feminino,5-9 anos,64550
2023,2408102,Natal,feminino,50-54 anos,27517
2024,1501402,Belém,feminino,50-54 anos,50656
2024,2304400,Fortaleza,feminino,50-54 anos,89718
2022,2927408,Salvador,feminino,50-54 anos,97333
2022,2611606,Recife,feminino,50-54 anos,58219
2024,2408102,Natal,feminino,50-54 anos,27179
2024,2927408,Salvador,feminino,50-54 anos,98422
2023,2111300,São Luís,feminino,50-54 anos,35700
2022,1100205,Porto Velho,feminino,55-59 anos,12220
2023,5103403,Cuiabá,feminino,55-59 anos,19058
2023,2927408,Salvador,feminino,55-59 anos,89381
2023,2304400,Fortaleza,feminino,55-59 anos,84522
2022,5208707,Goiânia,feminino,55-59 anos,45135
2024,1302603,Manaus,feminino,55-59 anos,52655
2022,1600303,Macapá,feminino,55-59 anos,9313
2022,1302603,Manaus,feminino,55-59 anos,49344
2024,3304557,Rio de Janeiro,feminino,55-59 anos,223643
2023,2800308,Aracaju,feminino,55-59 anos,20194
2023,3550308,São Paulo,feminino,60-64 anos,345531
2023,4106902,Curitiba,feminino,60-64 anos,56719
2022,1600303,Macapá,feminino,60-64 anos,7182
2023,1400100,Boa Vista,feminino,60-64 anos,6641
2024,2211001,Teresina,feminino,60-64 anos,23995
2022,2507507,João Pessoa,feminino,60-64 anos,22427
2022,1721000,Palmas,feminino,60-64 anos,4647
2023,4205407,Florianópolis,feminino,65-69 anos,13533
2022,1721000,Palmas,feminino,65-69 anos,3228
2022,2507507,João Pessoa,feminino,65-69 anos,17577
2022,2408102,Natal,feminino,65-69 anos,18031
2024,1501402,Belém,feminino,65-69 anos,32409
2023,5103403,Cuiabá,feminino,65-69 anos,12809
2024,2111300,São Luís,feminino,65-69 anos,20979
2023,2507507,João Pessoa,feminino,65-69 anos,18245
2022,5208707,Goiânia,feminino,65-69 anos,31511
2023,4106902,Curitiba,feminino,65-69 anos,47259
2022,5103403,Cuiabá,feminino,65-69 anos,12160
2023,2408102,Natal,feminino,70-74 anos,14609
2024,2408102,Natal,feminino,70-74 anos,14968
2024,1200401,Rio Branco,feminino,70-74 anos,4046
2022,2927408,Salvador,feminino,70-74 anos,43933
2022,5300108,Brasília,feminino,70-74 anos,38653
2024,5002704,Campo Grande,feminino,70-74 anos,15340
2023,1501402,Belém,feminino,70-74 anos,23794
