codigo_municipio,sigla_uf,nome_municipio,nome_municipio_padronizado,ano,quantidade_mortes_intervencao_policial_civil_fora_de_servico,quantidade_feminicidio,quantidade_mortes_intervencao_policial_militar_fora_de_servico,quantidade_furto_veiculos,quantidade_mortes_intervencao_policial_civil_em_servico,quantidade_estupro,quantidade_morte_policiais_civis_confronto_em_servico,quantidade_mortes_intervencao_policial_militar_em_servico,quantidade_mortes_policiais_confronto,quantidade_posse_uso_entorpecente,quantidade_mortes_violentas_intencionais,quantidade_morte_policiais_militares_fora_de_servico,quantidade_morte_policiais_civis_fora_de_servico,quantidade_latrocinio,quantidade_porte_ilegal_arma_de_fogo,quantidade_mortes_intervencao_policial,quantidade_roubo_furto_veiculos,quantidade_posse_ilegal_arma_de_fogo,quantidade_lesao_corporal_dolosa_violencia_domestica,quantidade_trafico_entorpecente,quantidade_roubo_veiculos,quantidade_lesao_corporal_morte,quantidade_morte_policiais_militares_confronto_em_servico,quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,quantidade_homicidio_doloso,proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais
2704302,AL,Maceió,maceio,2016,0.0,0.0,2.0,305.0,0.0,155.0,0.0,57.0,5.0,0.0,531,2.0,1.0,21,0.0,59.0,1538.0,0.0,0.0,0.0,1233.0,2.0,2.0,0.0,449,11.0
2304400,CE,Fortaleza,fortaleza,2016,0.0,0.0,7.0,2820.0,1.0,458.0,0.0,23.0,8.0,0.0,1046,5.0,2.0,27,0.0,39.0,9235.0,0.0,0.0,0.0,6415.0,15.0,1.0,0.0,965,3.0
3205309,ES,Vitória,vitoria,2016,0.0,0.0,2.0,338.0,1.0,25.0,0.0,6.0,0.0,0.0,63,0.0,0.0,0,0.0,9.0,565.0,0.0,0.0,0.0,227.0,3.0,0.0,0.0,51,14.0
5208707,GO,Goiânia,goiania,2016,0.0,0.0,24.0,3733.0,0.0,161.0,0.0,76.0,3.0,0.0,599,3.0,0.0,33,0.0,100.0,11031.0,0.0,0.0,0.0,7298.0,14.0,0.0,0.0,452,16.0
2111300,MA,São Luís,sao luis,2016,0.0,0.0,0.0,487.0,0.0,224.0,0.0,27.0,1.0,0.0,560,1.0,0.0,23,0.0,27.0,2165.0,0.0,0.0,0.0,1678.0,12.0,0.0,0.0,498,4.0
5103403,MT,Cuiabá,cuiaba,2016,0.0,0.0,0.0,1158.0,0.0,353.0,0.0,0.0,3.0,0.0,218,2.0,0.0,18,0.0,0.0,2588.0,0.0,0.0,0.0,1430.0,4.0,1.0,0.0,196,
1501402,PA,Belém,belem,2016,0.0,0.0,0.0,1012.0,0.0,481.0,0.0,0.0,10.0,0.0,978,7.0,2.0,41,0.0,39.0,2916.0,0.0,0.0,0.0,1904.0,20.0,1.0,0.0,878,3.0
2507507,PB,João Pessoa,joao pessoa,2016,0.0,0.0,0.0,0.0,1.0,92.0,0.0,4.0,4.0,0.0,350,1.0,1.0,8,0.0,5.0,813.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,341,1.0
2611606,PE,Recife,recife,2016,0.0,0.0,0.0,1520.0,0.0,446.0,0.0,0.0,6.0,0.0,640,5.0,1.0,5,0.0,15.0,4981.0,0.0,0.0,0.0,3461.0,11.0,0.0,0.0,624,2.0
2211001,PI,Teresina,teresina,2016,1.0,0.0,4.0,1104.0,0.0,226.0,0.0,2.0,1.0,0.0,367,1.0,0.0,22,0.0,7.0,3587.0,0.0,0.0,0.0,2483.0,4.0,0.0,0.0,341,1.0
