codigo_municipio,codigo_uf_ibge,sigla_uf,nome_municipio,nome_municipio_padronizado,ano,populacao_total,populacao_crescimento_pct
1100205,11,RO,Porto Velho,porto velho,2016,499293,
1100205,11,RO,Porto Velho,porto velho,2017,509323,2.008840500467657
1100205,11,RO,Porto Velho,porto velho,2018,519531,2.004229143392311
1100205,11,RO,Porto Velho,porto velho,2019,529544,1.927315213144154
1100205,11,RO,Porto Velho,porto velho,2020,539354,1.8525372773556148
1100205,11,RO,Porto Velho,porto velho,2021,548952,1.7795362600444342
1200401,12,AC,Rio Branco,rio branco,2016,388932,
1200401,12,AC,Rio Branco,rio branco,2017,394924,1.5406292102475572
1200401,12,AC,Rio Branco,rio branco,2018,401155,1.5777719257376033
1200401,12,AC,Rio Branco,rio branco,2019,407319,1.5365631738355479
1200401,12,AC,Rio Branco,rio branco,2020,413418,1.4973521981542781
1200401,12,AC,Rio Branco,rio branco,2021,419452,1.459539739440463
1302603,13,AM,Manaus,manaus,2016,2070529,
1302603,13,AM,Manaus,manaus,2017,2107646,1.7926336699461753
1302603,13,AM,Manaus,manaus,2018,2145444,1.7933751683157473
1302603,13,AM,Manaus,manaus,2019,2182763,1.7394534651102633
1302603,13,AM,Manaus,manaus,2020,2219580,1.6867154152787167
1302603,13,AM,Manaus,manaus,2021,2255903,1.6364807756422461
1400100,14,RR,Boa Vista,boa vista,2016,334801,
1400100,14,RR,Boa Vista,boa vista,2017,351112,4.8718492477620945
1400100,14,RR,Boa Vista,boa vista,2018,375374,6.910045797352415
1400100,14,RR,Boa Vista,boa vista,2019,399213,6.350732869085229
1400100,14,RR,Boa Vista,boa vista,2020,419652,5.119823252248801
1400100,14,RR,Boa Vista,boa vista,2021,436591,4.036439716717655
1501402,15,PA,Belem,belem,2016,1471671,
1501402,15,PA,Belem,belem,2017,1478601,0.47089329068792374
1501402,15,PA,Belem,belem,2018,1485732,0.48228020946827765
1501402,15,PA,Belem,belem,2019,1492745,0.47202321818471393
1501402,15,PA,Belem,belem,2020,1499641,0.4619677171921577
1501402,15,PA,Belem,belem,2021,1506420,0.45204152193758507
1600303,16,AP,Macapa,macapa,2016,473894,
1600303,16,AP,Macapa,macapa,2017,483841,2.0989926017210614
1600303,16,AP,Macapa,macapa,2018,493634,2.0240120204777945
1600303,16,AP,Macapa,macapa,2019,503327,1.9636005623599573
1600303,16,AP,Macapa,macapa,2020,512902,1.9023418175460494
1600303,16,AP,Macapa,macapa,2021,522357,1.8434320786427039
1721000,17,TO,Palmas,palmas,2016,277511,
1721000,17,TO,Palmas,palmas,2017,284479,2.5108914601583265
1721000,17,TO,Palmas,palmas,2018,291855,2.5928100140959476
1721000,17,TO,Palmas,palmas,2019,299127,2.491648249987155
1721000,17,TO,Palmas,palmas,2020,306296,2.3966408916614057
1721000,17,TO,Palmas,palmas,2021,313349,2.302674537049132
2111300,21,MA,Sao Luis,sao luis,2016,1079751,
2111300,21,MA,Sao Luis,sao luis,2017,1087308,0.6998835842708218
2111300,21,MA,Sao Luis,sao luis,2018,1094667,0.6768091469942172
2111300,21,MA,Sao Luis,sao luis,2019,1101884,0.6592872535666094
